mo - Мат. ожидание по окружности
moe - Мат. ожидание по эллипсу
cnt - Количество точек внутри идеальной трубы
mic - Срденее отклонение от идеальной трубы
ex - Экцентриситет
ФП - Функция принадлежности
         Исходные данные Промежуточный результат   Результат      mo   moe   cnt    mic    ex             ФП mo            ФП moe  ФП cnt                  ФП mic             ФП ex
0   идеальная окружность              окружность  окружность      -0    -0  0.83      0     0            [0, 0]            [1, 0]  [1, 0]       [0, 0, 0, 0.7869]            [1, 0]
1   идеальная окружность              окружность  окружность      -0    -0  0.83      0     0            [0, 0]            [1, 0]  [1, 0]       [0, 0, 0, 0.7869]            [1, 0]
2   идеальная окружность              окружность  окружность      -0    -0  0.83      0     0            [0, 0]            [1, 0]  [1, 0]       [0, 0, 0, 0.7869]            [1, 0]
3             окружность              окружность  окружность    1.25     0  0.48   0.96   0.2            [1, 0]            [1, 0]  [1, 0]       [0, 0.7934, 0, 0]            [1, 0]
4             окружность              окружность  окружность    1.24    -0  0.54   0.95   0.2            [1, 0]            [1, 0]  [1, 0]  [0, 0.6281, 0.1229, 0]            [1, 0]
5             окружность              окружность  окружность    1.48     0  0.44   1.08   0.2            [1, 0]            [1, 0]  [1, 0]       [0, 0.3802, 0, 0]            [1, 0]
6                вмятина                 вмятина     вмятина   65.17  0.16  0.58   4.45  0.55            [0, 1]            [0, 1]  [0, 1]  [0, 0.2149, 0.5457, 0]            [0, 1]
7                вмятина                 вмятина     вмятина   60.99  0.16  0.63   4.44  0.55            [0, 1]            [0, 1]  [0, 1]       [0, 0, 0.9574, 0]            [0, 1]
8                вмятина                 вмятина     вмятина   61.71  0.14  0.64   4.52  0.54            [0, 1]            [0, 1]  [0, 1]       [0, 0, 0.9974, 0]            [0, 1]
9                вмятина                 вмятина     вмятина   62.41  0.14   0.6   4.51  0.55            [0, 1]            [0, 1]  [0, 1]       [0, 0, 0.8062, 0]            [0, 1]
10               вмятина              окружность  окружность   64.37  0.14  0.57   4.64  0.54            [0, 1]            [0, 1]  [0, 1]       [0, 0.2975, 0, 0]            [0, 1]
11               вмятина                 вмятина     вмятина   58.97  0.12  0.63   4.39  0.53            [0, 1]            [0, 1]  [0, 1]       [0, 0, 0.9574, 0]            [0, 1]
12                эллипс                  эллипс      эллипс   11.09     0  0.47   2.94  0.33  [0.3914, 0.0543]       [0, 0.6526]  [1, 0]       [0, 0.7107, 0, 0]  [0.5557, 0.4443]
13                эллипс                  эллипс      эллипс   34.45     0  0.48   5.24  0.43            [0, 1]            [0, 1]  [1, 0]       [0, 0.7934, 0, 0]            [0, 1]
14                эллипс                  эллипс      эллипс   80.96     0  0.47   8.08  0.49            [0, 1]            [0, 1]  [1, 0]       [0, 0.7107, 0, 0]            [0, 1]
15                эллипс                  эллипс      эллипс  137.08     0  0.48  10.55  0.55            [0, 1]            [0, 1]  [1, 0]       [0, 0.7934, 0, 0]            [0, 1]
16                эллипс                  эллипс      эллипс  210.56     0  0.47  13.01   0.6            [0, 1]            [0, 1]  [1, 0]       [0, 0.7107, 0, 0]            [0, 1]
17                эллипс                  эллипс      эллипс  312.68     0  0.49  15.94  0.64            [0, 1]            [0, 1]  [1, 0]        [0, 0.876, 0, 0]            [0, 1]
18                эллипс                  эллипс      эллипс  211.22     0  0.48  13.12   0.6            [0, 1]            [0, 1]  [1, 0]       [0, 0.7934, 0, 0]            [0, 1]
19                эллипс                  эллипс      эллипс  134.03    -0  0.49  10.45  0.55            [0, 1]            [0, 1]  [1, 0]        [0, 0.876, 0, 0]            [0, 1]
20                эллипс                  эллипс      эллипс   79.18     0   0.5   7.99  0.49            [0, 1]            [0, 1]  [1, 0]       [0, 0.9587, 0, 0]            [0, 1]
21                эллипс                  эллипс      эллипс   36.59     0   0.5   5.38  0.43            [0, 1]            [0, 1]  [1, 0]  [0, 0.9587, 0.0015, 0]            [0, 1]
22                эллипс                  эллипс      эллипс   10.06    -0  0.49   2.76  0.33   [0.4939, 0.003]       [0, 0.6518]  [1, 0]        [0, 0.876, 0, 0]    [0.709, 0.291]
23                эллипс              окружность  окружность    1.34     0  0.44   1.02   0.2            [1, 0]            [1, 0]  [1, 0]       [0, 0.3802, 0, 0]            [1, 0]
24                гидрат                  гидрат      гидрат    1.35     0     1  10.52   0.2            [1, 0]  [0.4843, 0.0157]  [1, 0]            [0, 0, 0, 1]            [0, 1]
25                гидрат                  гидрат      гидрат    1.43    -0     1  21.34  0.21            [1, 0]  [0.4703, 0.0297]  [1, 0]            [0, 0, 0, 1]            [0, 1]
26                гидрат                  гидрат      гидрат    1.18    -0     1  31.95  0.21            [1, 0]  [0.4254, 0.0746]  [1, 0]            [0, 0, 0, 1]            [0, 1]
27                гидрат                  гидрат      гидрат    1.27     0     1   42.5  0.22            [1, 0]  [0.3969, 0.1031]  [1, 0]            [0, 0, 0, 1]            [0, 1]
28                гидрат                  гидрат      гидрат     1.3    -0     1  53.18  0.23            [1, 0]  [0.3617, 0.1383]  [1, 0]            [0, 0, 0, 1]            [0, 1]
29                гидрат                  гидрат      гидрат    1.23     0     1  63.61  0.24            [1, 0]  [0.3184, 0.1816]  [1, 0]            [0, 0, 0, 1]            [0, 1]
30                гидрат                  гидрат      гидрат    1.45     0     1   53.1  0.23            [1, 0]  [0.3491, 0.1509]  [1, 0]            [0, 0, 0, 1]            [0, 1]
31                гидрат                  гидрат      гидрат    1.34     0     1  42.51  0.22            [1, 0]  [0.3886, 0.1114]  [1, 0]            [0, 0, 0, 1]            [0, 1]
32                гидрат                  гидрат      гидрат    1.35     0     1  31.77  0.21            [1, 0]  [0.4258, 0.0742]  [1, 0]            [0, 0, 0, 1]            [0, 1]
33                гидрат                  гидрат      гидрат    1.52     0     1  21.17  0.21            [1, 0]  [0.4616, 0.0384]  [1, 0]            [0, 0, 0, 1]            [0, 1]
34                гидрат                  гидрат      гидрат    1.28    -0     1  10.75   0.2            [1, 0]  [0.4909, 0.0091]  [1, 0]            [0, 0, 0, 1]            [0, 1]
